Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,
LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL INPATIENT PHARMACY,2434 WEST BELVEDERE AVE,,Baltimore MD  21215,PW0471,02/04/2015,05/31/2024,
Lex Pharmacy,36 S Solomon Island Road,,Prince Frederick MD  20678,P08382,01/12/2021,05/31/2024,
LIBERTY PHARMACY LLC,108 N. EUTAW STREET,SUITE 108,Baltimore MD  21201,P07520,04/06/2017,05/31/2024,
LIFE CARE PHARMACY LLC,5429  REISTERSTOWN RD,SUITE B,Baltimore MD  21215,P06878,06/02/2015,05/31/2024,
Lifebridge Pharmacy at Northwest,5401 Old Court Road,,Randallstown MD  21133,P05509,04/14/2011,05/31/2024,
LifeBridge Pharmacy at Sinai,2401 BELVEDERE AVE,,BALTIMORE MD  21215,P05585,10/07/2011,05/31/2024,
Lifeline Baltimore Pharmacy,6821 Reisterstown Road,Suite 207,Baltimore MD  21215,P07438,11/28/2016,05/31/2024,
Lifeline Specialty Pharmacy,3233 CORPORATE COURT,,Ellicott City MD  21043,PW0513,11/02/2017,05/31/2024,
Lifeway Pharmacy LLC,700A Merrit Blvd,Suite 1A,Dundalk MD  21222,P07159,05/11/2016,05/31/2024,
LITTLE  ACORN  PHARMACY,11161  NEW HAMPSHIRE  AVE,SUITE 110,Silver Spring MD  20904,P06806,04/29/2015,05/31/2024,
Lockwood Pharmacy,10801 Lockwood Drive,Suite 190,Silver Spring MD  20901,P07891,11/28/2018,05/31/2024,
Lower Shore Pharmacy,505 E. Main Street,,Salisbury MD  21804,P07526,04/11/2017,05/31/2024,
"Lumicera Health Services, LLC",704 Quince Orchard Rd.,Suite 150,Gaithersburg MD  20878,P08387,01/27/2021,05/31/2024,
Luminis Behavioral Health Campus Pharmacy,2620 Riva Road,,Annapolis MD  21401,P08213,05/27/2020,05/31/2024,
Lusby Pharmacy,11870 HG Trueman Road,,Lusby MD  20657,P08070,04/17/2019,05/31/2024,
"LUTHERVILLE HEMATOLOGY & ONCOLOGY SERVICES, LLC",1734 YORK ROAD,,Lutherville MD  21093,PW0503,02/15/2017,05/31/2024,
LYKOS PHARMACY INC,2101 YORK RD,,TIMONIUM MD  21093,P00402,01/01/1960,05/31/2024,
MANCHESTER PHARMACY INC,3321 NORTH MAIN STREET,PO BOX 886,MANCHESTER MD  21102,P04029,03/24/2004,05/31/2024,
MARION PHARMACY INC,26427 BURTON AVE,,CRISFIELD MD  21817,P00411,11/28/1972,05/31/2024,
Martin's Pharmacy #6425,24 RISING SUN TOWNE CTR,,RISING SUN MD  21911,P02411,10/20/1999,05/31/2024,
Martins Food Market Pharmacy #6003,739 PARK STREET,,CUMBERLAND MD  21501,P02373,07/06/1999,05/31/2024,
Martins Pharmacy #6104,1729 DUAL HIGHWAY,,HAGERSTOWN MD  21740,P01869,02/03/1995,05/31/2024,
Martins Pharmacy #6275,1650 C WESEL BLVD,,HAGERSTOWN MD  21740,P04169,04/27/2005,05/31/2024,
Martins Pharmacy #6297,12101 WINCHESTER RD SW,,Lavale MD  21502,P02327,06/15/1999,05/31/2024,
Martins Pharmacy #6307,1320 LONDONTOWN BLVD,,ELDERSBURG MD  21784,P04460,07/28/2006,05/31/2024,
Martins Pharmacy #6444,18726 N POINTE DRIVE,,HAGERSTOWN MD  21742,P01508,11/14/2002,05/31/2024,
Maryland CVS Pharmacy LLC,60 SHINING WILLOW WAY,,La Plata MD  20646,P07037,12/17/2015,05/31/2024,
Maryland CVS Pharmacy LLC,11160 VEIRS MILL RD,,Silver Spring MD  20902,P07043,12/17/2015,05/31/2024,
Maryland CVS Pharmacy LLC #16393,4600 MITCHELLVILLE RD,,Bowie MD  20716,P07024,12/18/2015,05/31/2024,
Maryland CVS Pharmacy LLC #17378,28539 MARLBORO AVE,,Easton MD  21601,P07035,12/23/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #16395,10500  CAMPUS WAY S,,Upper Marlboro MD  20774,P07059,12/18/2015,05/31/2024,
Maryland CVS Pharmacy LLC DBA CVS Pharmacy #16396,3343 CORRIDOR MARKETPLACE,,Laurel MD  20724,P07023,12/18/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #16397,3300 WESTERN PKWY,,Waldorf MD  20603,P07022,01/07/2016,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #16427,4390 Montgomery Road,,Ellicott City MD  21043,P07028,12/22/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #16428,1025 MIDDLETON RD,,Aberdeen MD  21001,P07021,12/21/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #16991,403 Constant Friendship Blvd,,Abingdon MD  21009,P07046,12/21/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17010,3500 East West  Hwy.,Suite 1200,Hyattsville MD  20782,P07047,01/05/2016,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17017,3101 Donnell  Dr.,,District Heights MD  20747,P07049,12/23/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17055,6717 Ritchie Hwy,,Glen Burnie MD  21061,P07048,12/18/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17086,1330 Martin Blvd,,Middle River MD  21220,P07039,12/17/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17102,10401 Martin Luther King Jr Hwy,,Bowie MD  20720,P07038,12/18/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17345,1911 Towne Centre Blvd,,Annapolis MD  21401,P07036,12/22/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17594,2384 Brandermill Blvd,,Gambrills MD  21054,P07032,12/18/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17663,3559 Boston Street,,Baltimore MD  21224,P07031,12/17/2015,05/31/2024,
Maryland CVS Pharmacy LLC dba CVS Pharmacy #17679,7501 Baltimore Ave,Ste 1,College Park MD  20740,P07030,01/05/2016,05/31/2024,
"Maryland CVS Pharmacy, LLC",15922  CRAIN HWY SE,,Brandywine MD  20613,P07033,12/23/2015,05/31/2024,
Maryland Specialty and Compounding Pharmacy LLC dba Professional Arts Pharmacy,3138 Rogers Ave,,Ellicott City MD  21043,P07718,02/28/2018,05/31/2024,
Masters Specialty Pharmacy,1100 West Patrick Street,,Frederick MD  21702,P07171,09/22/2016,05/31/2024,
MaxCare Pharmacy,7448 Baltimore Annapolis Blvd,Suite A,Glen Burnie MD  21061,P08343,11/05/2020,05/31/2024,
MCKAYS PHARMACY,37670 MOHAWK DR,PO BOX 169,CHARLOTTE HALL MD  20622,P01019,01/01/2005,05/31/2024,
MD GENERAL HOSPITAL PHARMACY,827 Linden Ave,,BALTIMORE MD  21201,P01177,01/24/1985,05/31/2024,
MD Psychiatric,55 Wade Ave,CORNER OF MAPLE AND LOCUST ST,Catonsville MD  21228,PW0135,02/24/1995,05/31/2024,
MED ONE PHARMACY D/B/A WOODBINE PHARMACY,710 D Libson Center Drive,,Woodbine MD  21797,P05542,07/20/2011,05/31/2024,
Med One Pharmacy Inc.dba New Market Pharmacy,11717 Old National Pike,,New Market MD  21774,P07237,09/12/2016,05/31/2024,
Med. One Pharmacy iNc.,1 North Main Street,,Mount Airy MD  21771,P07238,09/12/2016,05/31/2024,
Med. One Pharmacy Inc. DBA Boonsboro Pharmacy,7628 Old National Pike,,Boonsboro MD  21713,P05879,01/02/2013,05/31/2024,
Med. One Pharmacy Inc. DBA Brunswick Pharmacy,610 9th Avenue,,Brunswick MD  21716,P04718,01/04/2008,05/31/2024,
Med. One Pharmacy Inc. dba Emmitsburg Pharmacy,101 Silo Hill Road,,Emmitsburg MD  21727,P04717,01/04/2008,05/31/2024,
Med. One Pharmacy Inc. dba Middletown Pharmacy,4317 Old National Pike,,Middletown MD  21769,P05073,09/22/2009,05/31/2024,
Med.One Pharmacy Inc dba McDougall's Drug Center,1645 Liberty Road,,Sykesville MD  21784,P08300,08/07/2020,05/31/2024,
MEDICINE SHOPPE 1423,12838 NEW HAMPSHIRE AVE,,SILVER SPRING MD  20904,P01948,02/05/1996,05/31/2024,
MEDICINE SHOPPE 1802,10313 GEORGIA AVE,,SILVER SPRING MD  20902,P01050,12/15/1983,05/31/2024,
MEDMERICA DISCOUNT PHARMACY,5003 RITCHIE HIGHWAY,,BROOKLYN MD  21225,P04195,07/06/2005,05/31/2024,
Medmerica Pharmacy of Middle River,28 Kingston Rd,,Middle River MD  21220,P08436,04/30/2021,05/31/2024,
MEDNOVATIONS INC,316 TALBOTT AVE,SUITE B,LAUREL MD  20707,PW0210,05/14/2003,05/31/2024,
"MedOne Pharmacy Inc, dba Thurmont Pharmacy",58 Water Street,,Thurmont MD  21788,P04716,01/04/2008,05/31/2024,
MedPlus Infusion Pharmacy LLC,1 Easter Court,Suites G & H,Owings Mills MD  21117,PW0533,10/30/2020,05/31/2024,
"Medspack MD, LLC dba Foers Long Term Care Pharmacy",1300 PICCARD DR,LL-16,ROCKVILLE MD  20850,PW0537,07/23/2021,05/31/2024,
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,9000 FRANKLIN SQ DR,,BALTIMORE MD  21237,P00243,01/01/1980,05/31/2024,
MEDSTAR FRANKLIN SQUARE ONCOLOGY CENTER AT LOCH RAVEN CAMPUS,5601 LOCH RAVEN BLVD- RMB,SUITE 103,Baltimore MD  21239,PW0505,04/18/2017,05/31/2024,
MEDSTAR FRANKLIN SQUARE ONCOLOGY RX,9103 FRANKLIN SQUARE DR,,BALTIMORE MD  21237,PW0281,09/20/2006,05/31/2024,
MEDSTAR GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BLVD,,BALTIMORE MD  21239,P00295,01/22/1920,05/31/2024,
MEDSTAR HARBOR HOSPITAL IN PATIENT RX,3001 S HANOVER ST,,BALTIMORE MD  21225,P00758,01/01/1904,05/31/2024,
MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DR,,OLNEY MD  20832,P00455,05/29/1918,05/31/2024,
MEDSTAR PHARMACY AT RAVENS STADIUM,1101 RUSSELL ST,,Baltimore MD  21201,PW0486,09/18/2015,05/31/2024,
MEDSTAR PHARMACY STORE # 12,9000 Franklin Square Drive,,Rosedale MD  21237,P07637,09/13/2017,05/31/2024,
MEDSTAR PHARMACY STORE #3,5601 LOCH RAVEN BLVD,,BALTIMORE MD  21239,P02035,12/30/1996,05/31/2024,
MEDSTAR PHARMACY STORE #4,201 E UNIVERSITY PKWY,,BALTIMORE MD  21218,P02070,07/14/1997,05/31/2024,
MEDSTAR PHARMACY STORE #6,3001 S HANOVER STREET,,BALTIMORE MD  21225,P04034,06/28/2004,05/31/2024,
MEDSTAR PHARMACY STORE #7,3305 N. LEISURE WORLD BLVD,,Silver Spring MD  20906,P05881,12/28/2012,05/31/2024,
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER, INC",7503 SURRATTS ROAD,,Clinton MD  20735,P05871,12/10/2012,05/31/2024,
MedStar Specialty Pharmacy LLC,7379 Washington Blvd,Suite 101,Elkridge MD  21075,P08187,05/11/2020,05/31/2024,
MEDSTAR UNION MEMORIAL HOSPITAL,201 E UNIVERSITY PKWY,,BALTIMORE MD  21218,P00797,01/01/1954,05/31/2024,
"MedventurePartners, LLC dba MVPRX",4000 Mitchellville Rd,Suite 406,Bowie MD  20716,P08180,12/19/2019,05/31/2024,
Melorejuvenation & Meloweighloss LLC dba Best Pharmacy,6869 New Hampshire Ave,,Takoma Park MD  20912,P08684,12/14/2022,05/31/2024,
MEMORIAL HOSPITAL PHARMACY,219 S WASHINGTON ST,PHARMACY DEPARTMENT,EASTON MD  21601,P00450,01/01/1906,05/31/2024,
MENDEL PHARMACY,1264 BENNING ROAD,,Capitol Heights MD  20743,P05833,12/21/2012,05/31/2024,
MERCY MEDICAL CENTER PHARMACY,301 ST  PAUL PLACE,DIRECTOR OF PHARMACY,BALTIMORE MD  21202,P00452,01/01/1977,05/31/2024,
MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS RD,,HAGERSTOWN MD  21742,P05399,10/01/2010,05/31/2024,
Meritus Pharmacy,11116 Medical Campus,Ste 2460,Hagerstown MD  21742,P08526,01/06/2022,05/31/2024,
MERRITT STAR PHARMACY,1576 MERRITT BLVD  SUITE 12,,Baltimore MD  21222,P05831,12/12/2012,05/31/2024,
MIDAS RX PHARMACY LLC,700 WASHINGTON BOULEVARD,,Baltimore MD  21230,P06900,07/10/2015,05/31/2024,
MIKE'S PHARMACY,8541 FORT SMALLWOOD ROAD,UNIT G,Pasadena MD  21122,P05941,03/06/2013,05/31/2024,
Mike's Pharmacy II,3820 Mountain Road,unti G,Pasadena MD  21122,P07151,05/04/2016,05/31/2024,
Milford Street Pharmacy,106 Milford Street,,SALISBURY MD  21804,P08212,01/16/2020,05/31/2024,
"Millennium Pharmacy Systems, LLC d/b/a PharMerica",7100  COLUMBIA GATEWAY DR STE 100/ 110,,Columbia MD  21046,PW0512,12/07/2017,05/31/2024,
MIMIKAY PHARMACY,1027 W 36 th ST,SUITE A,Baltimore MD  21211,P06871,07/07/2015,05/31/2024,
MONUMENT PHARMACY INC,2760 LIGHTHOUSE POINT,SUITE 110,BALTIMORE MD  21224,PW0190,08/24/2001,05/31/2024,
Morrell Park Pharmacy,2519 Washington Blvd,,Baltimore MD  21230,P07972,01/18/2019,05/31/2024,
MOUNTAIN LAUREL COMMUNITY PHARMACY,1027 MEMORIAL DRIVE,SUITE 100,OAKLAND MD  21550,P06891,08/27/2015,05/31/2024,
MT CARMEL PHARMACY,111 MT  CARMEL RD,Suite 100,Parkton MD  21120,P01303,08/16/1997,05/31/2024,
MT HERMON DISCOUNT PHARMACY,1207 Mt. Hermon Road,,Salisbury MD  21804,P04859,12/16/2008,05/31/2024,
MT VERNON PHARMACY,900 CATHEDRAL ST,,BALTIMORE MD  21201,P02306,04/20/1999,05/31/2024,
MT VERNON PHARMACY AT FALLSWAY,421 FALLSWAY,,BALTIMORE MD  21202,P05345,09/13/2010,05/31/2024,
MULVEYS PRESTON PHARMACY INC,243 MAIN STREET,PO BOX 129,PRESTON MD  21655,P01499,05/19/1989,05/31/2024,
Musgrove Pharmacy,2415 Musgrove Road,Suite 101,Silver Spring MD  20904,P08195,11/19/2019,05/31/2024,
"MY EXPRESS CARE PHARMACY, LLC",4453  CRAIN HIGHWAY,,White Plains MD  20695,P06894,07/15/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #0105,10 KING STREET,,Waldorf MD  20602,P06587,01/30/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #0128,151 Walkers Village Way,,Walkersville MD  21793,P06590,01/30/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1089,12251 Darnestown Road,,Gaithersburg MD  20878,P06593,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1129,10276 S. Maryland Blvd,,Dunkirk MD  20754,P06594,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1281,10000 Baltimore National Pike,,Ellicott City MD  21042,P06595,01/30/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1351,540 Benfield Road,,Severna Park MD  21146,P06598,01/30/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1369,909 Thayer Ave,,Silver Spring MD  20910,P06599,01/30/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1443,8785 Branch Ave,,Clinton MD  20735,P06600,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1459,4370  Montgomery Road,,Ellicott City MD  21043,P06601,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1460,1781 Forest Drive,,Annapolis MD  21401,P06602,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1481,2610 Boston Street,,Baltimore MD  21224,P06603,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1482,2401 North Charles Street,,Baltimore MD  21218,P06604,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1513,4401 Harford Road,,Baltimore MD  21214,P06605,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1539,4211 Mountain Road,,Pasadena MD  21122,P06606,01/31/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmacy #1553,5485 Harpers Farm Road,,Columbia MD  21044,P06607,01/30/2015,05/31/2024,
Nai Saturn Eastern LLC Safeway Pharmay #0107,7595 Greenbelt Road,,Greenbelt MD  20770,P06588,01/30/2015,05/31/2024,
"NAI SATURN EASTERN, LLC dba SAFEWAY PHARMACY #3257",1800 ROCKVILLE PIKE,SUITE S,Rockville MD  20852,P06958,11/24/2015,05/31/2024,
"NAI SATURN EASTERN, LLC DBA SAFEWAY PHARMACY #3274",3702 EAST-WEST HIGHWAY,,Hyattsville MD  20782,P06957,02/02/2016,05/31/2024,
Narmada Inc dba Pulse Pharmacy,8981 Woodyard Road,,Clinton MD  20735,P08041,03/07/2019,05/31/2024,
Nations Infusion at Home LLC,11521 Cronridge Drive,Suite L-M,Owings Mills MD  21117,P08599,06/13/2022,05/31/2024,
NAYLOR LANE PHARMACY INC dba WELLCARE  PHARMACY,4000 OLD COURT RD,SUITE 101,Pikesville MD  21208,P06660,11/25/2014,05/31/2024,
NEW ERA PHARMACY,1436 ADDISON ROAD SOUTH,,CAPITOL HGTS MD  20743,P04041,09/01/2004,05/31/2024,
NEW MARKET PHARMACY,29015 THREE NOTCH RD,UNIT 7,MECHANICSVILLE MD  20659,P05527,07/14/2011,05/31/2024,
NEXT DOOR PHARMACY,9918 Reisterstown Rd,,Owings Mills MD  21117,P07952,10/16/2018,05/31/2024,
NIA RESEARCH PHARMACY,3001 S HANOVER STREET,Room SM-527,BALTIMORE MD  21225,PW0231,03/26/2003,05/31/2024,
NIKI 2 LLC dba Medsurg Pharmacy,3037 Marshall Hall Road,,Bryans Road MD  20616,P07704,02/01/2018,05/31/2024,
"NORTH EAST DRUGS,LLC",1119 LIGHT STREET,,Baltimore MD  21230,P07201,08/05/2016,05/31/2024,
NORTH EAST PHARMACY INC,2316 PULASKI HIGHWAY,,North East MD  21901,P06861,05/27/2015,05/31/2024,
"Northern Pharmacy and Medical Equipment, Inc",6701 Harford Road,,Baltimore MD  21234,P01182,04/01/1985,05/31/2024,
NORTHERN SPECIAL CARE PHARMACY,7816 HARFORD ROAD,,BALTIMORE MD  21234,PW0245,04/13/2005,05/31/2024,
NORTHSIDE PHARMACY,707 BRIDGE STREET,,ELKTON MD  21921,P06260,02/07/2014,05/31/2024,
NORTHSIDE PHARMACY LONG TERM CARE,707 N BRIDGE ST,SUITE  C,Elkton MD  21921,PW0485,12/02/2015,05/31/2024,
Northwest Hospital Center,5401 Old Court Road,,Randallstown MD  21133,P01143,09/26/1984,05/31/2024,
NUTRI CHOICE PARTNERS INC,2313 DISTRIBUTION CIR,,SILVER SPRING MD  20910,PW0211,12/04/2001,05/31/2024,
NUTRIVENE PHARMACY,11655 CROSSROADS CIRCLE,Suite T,Middle River MD  21220,PW0360,07/12/2012,05/31/2024,
Nuworld Pharmacy LLC,1800 N. Charles Street,,Baltimore MD  21201,P07118,04/21/2016,05/31/2024,
OBRA Pharmacy LLC,15525 New Hampshire Avenue,,Silver Spring MD  20905,P08339,10/26/2020,05/31/2024,
OLD COURT PHARMACY I,8607 LIBERTY ROAD,,RANDALLSTOWN MD  21133,P02287,02/23/1999,05/31/2024,
OLNEY PROFESSIONAL PHARMACY INC,18111 PRINCE PHILIP DR,SUITE 100,OLNEY MD  20832,P04031,04/16/2004,05/31/2024,
OMNICARE OF ANNAPOLIS JUNCTION,9036 JUNCTION DRIVE,,ANNAPOLIS JCT MD  20701,PW0140,04/18/1995,05/31/2024,
OMNICARE OF SALISBURY,119 W NAYLOR MILL RD,SUITE 7,SALISBURY MD  21801,PW0064,04/14/1992,05/31/2024,
OPTION CARE,9140 GUILFORD ROAD,SUITE K,COLUMBIA MD  21046,PW0345,09/30/2010,05/31/2024,
"Optum Infusion Services 103, LLC",9204 BERGER RD,Suite A,Columbia MD  21046,PW0332,01/15/2010,05/31/2024,
ORCHARD PHARMACY,3350 WILKENS AVENUE,SUITE 200,BALTIMORE MD  21229,P04767,07/24/2008,05/31/2024,
OSLER MEDICAL PHARMACY,7600 OSLER DRIVE,SUITE 110,TOWSON MD  21204,P04699,12/19/2007,05/31/2024,
"OUR LIBERTY PHARMACY, LLC",8511 LIBERTY RD,,Randallstown MD  21133,P07957,11/07/2018,05/31/2024,
PAAS LLC dba Allswell Pharmacy,8 Mountain Road,,Glen Burnie MD  21060,P08173,10/22/2019,05/31/2024,
PADEK HEALTHCARE PHARMACY,5403 A ANNAPOLIS RD,,BLADENSBURG MD  20710,P04314,08/22/2005,05/31/2024,
Padek Healthcare Pharmacy II,5814 Baltimore Ave.,,Hyattsville MD  20781,P07870,05/11/2018,05/31/2024,
PAPERMILL PHARMACY AND GIFT SHOP,3320 PAPERMILL ROAD,,PHOENIX MD  21131,P02329,02/26/1999,05/31/2024,
Paradise Professional Pharmacy Inc.,6350 Frederick Road,Suite B Side Door,Catonsville MD  21228,PW0543,12/02/2022,05/31/2024,
PARK AVE PHARMACY,1535 PARK AVE,,Baltimore MD  21217,P06708,01/23/2015,05/31/2024,
Park Lane Pharmacy,4259 Park Heights Ave,,Baltimore MD  21215,P03053,08/07/2002,05/31/2024,
Park Professional Pharmacy,580 N RITCHIE HWY,,SEVERNA PARK MD  21146,P08670,11/03/2022,05/31/2024,
PARK WEST MEDICAL CTR INC,3319 W BELVEDERE AVE,,Baltimore MD  21215,P01059,10/08/2002,05/31/2024,
PARKLAND PHARMACY,6104 Old Silver Hill Road,,District Heights MD  20747,P08541,02/10/2022,05/31/2024,
"PARKVILLE  PHARMACY, LLC",8118 HARFORD  RD,SUITE B,Parkville MD  21234,P06486,10/28/2014,05/31/2024,
Patient Care Pharmacy,2047 A  West Street,,Annapolis MD  21401,P07157,06/02/2016,05/31/2024,
PEMBERTON  PHARMACY & GIFT ST MICHAELS,204  TALBOT  ST,,Saint Michaels MD  21663,P06289,05/13/2014,05/31/2024,
PEMBERTON PHARMACY INC dba PEMBERTON PHARMACY & GIFT,1147 PEMBERTON DR,,SALISBURY MD  21801,P04587,05/24/2007,05/31/2024,
Peoples Care Pharmacy,2405 E. MONUMENT  STREET,,Baltimore MD  21205,P06393,07/08/2014,05/31/2024,
PEOPLES CARE PHARMACY,401 E. PATAPSCO  AVE,,Brooklyn MD  21225,P06394,06/30/2014,05/31/2024,
PHARMACARE INFUSION SERVICES,3 COMMERCE DRIVE,,CUMBERLAND MD  21502,PW0128,11/10/1998,05/31/2024,
PHARMACARE INSTITUTIONAL SERVICES,3 COMMERCE DRIVE,,Cumberland MD  21502,PW0109,11/02/1998,05/31/2024,
PHARMACARE OF CUMBERLAND,64 GREENE STREET,,Cumberland MD  21502,P00239,05/01/2001,05/31/2024,
PHARMACARE OF CUMBERLAND,11306 BEDFORD RD  NE,,Cumberland MD  21502,P00033,10/01/1977,05/31/2024,
PHARMACARE OF CUMBERLAND - WILLOWBROOK,12502 WILLOWBROOK RD,STE 203,CUMBERLAND MD  21502,P05072,10/23/2009,05/31/2024,
PHARMACARE OF FROSTBURG,"10601 NEW GEORGES CREEK ROAD, SW",,Frostburg MD  21532,P04502,10/11/2006,05/31/2024,
PHARMACARE SOUTH CUMBERLAND,1100  W. INDUSTRIAL BLVD,,Cumberland MD  21502,P07943,09/28/2018,05/31/2024,
PHARMACEUTICAL SERVICES OF AMERICA,11514 CHARLTON DR,,SILVER SPRING MD  20902,P01873,03/07/1995,05/31/2024,
"Pharmaron CPC, Inc.",800 WEST BALTIMORE ST,5TH FLOOR,BALTIMORE MD  21201,PW0504,03/10/2017,05/31/2024,
PharMerica,3 WASHINGTON STREET,,CAMBRIDGE MD  21613,PW0526,02/27/2020,05/31/2024,
PharmScript of MD LLC,7085 Samuel Morse Drive,Suite# 110,Columbia MD  21046,PW0509,10/31/2017,05/31/2024,
PHYSICIANS RX PHARMACY,9701 Apollo Drive,#400,Largo MD  20774,P06366,05/02/2014,05/31/2024,
PITTSVILLE PHARMACY,34205 E OLD OCEAN CITY ROAD,,PITTSVILLE MD  21850,P05364,08/09/2010,05/31/2024,
Plumtree Pharmacy,208 Plumtree Road,,Bel Air MD  21015,P08479,08/18/2021,05/31/2024,
Polaris Pharmacy Services of Maryland LLC,9113 Liberty Road,,Randallstown MD  21133,PW0527,04/16/2020,05/31/2024,
"Potomac Care Pharmacy, Inc.",12103 Darnestown Road,,Gaithersburg MD  20878,P07217,08/03/2016,05/31/2024,
POTOMAC PHARMATECH,16107 A ELLIOTT PARKWAY,,WILLIAMSPORT MD  21795,PW0296,01/22/2007,05/31/2024,
POTOMAC VALLEY PHARMACY,501 N CENTRE ST,,Cumberland MD  21502,P05718,07/02/2012,05/31/2024,
Premier Care Pharmacy,602 Cherry Hill Road,,Baltimore MD  21225,P08476,08/05/2021,05/31/2024,
Procare Pharmacy Cosmetic and Beauty System LLC,23213  Stringtown Road,,Clarksburg MD  20871,P08398,02/16/2021,05/31/2024,
PROFESSIONAL CARE PHARMACY,1514 REISTERSTOWN RD,,Pikesville MD  21208,PW0466,08/04/2014,05/31/2024,
Professional Pharmacy,9106 Philadelphia Road,Suite 100,Rosedale MD  21237,P07431,11/21/2016,05/31/2024,
PROHEALTH PHARMACY,4532 ERDMAN AVE,,BALTIMORE MD  21213,P05421,01/24/2011,05/31/2024,
Prosperity Medical and Health System LLC,13922 Baltimore Avenue,,Laurel MD  20707,P08697,01/17/2023,05/31/2024,
Quadrant Systems LLC dba Eutaw Pharmacy,622 N Eutaw Street,Unit A,Baltimore MD  21201,P07967,11/13/2018,05/31/2024,
QUALITY CARE PHARMACY,1403 E COLDSPRING LN,STE B,BALTIMORE MD  21239,P05148,02/24/2010,05/31/2024,
"QUALITY OF LIFE PHARMACY & HEALTH, INC",8900 EDGEWORTH DR,UNIT G,CAPITOL HGTS MD  20743,PW0269,01/10/2006,05/31/2024,
QUARTERFIELD PHARMACY,7671 QUARTERFIELD ROAD  SUITE 103,,Glen Burnie MD  21060,P05936,02/27/2013,05/31/2024,
REDNER'S PHARMACY,2126 N FOUNTAIN GREEN ROAD,RT 543,Bel Air MD  21015,P04756,06/19/2008,05/31/2024,
REDNERS PHARMACY,1002 JOPPA FARM ROAD,,JOPPA MD  21085,P04578,05/10/2007,05/31/2024,
REEDS PHARMACY 3,343 N PENNSYLVANIA AVE,,HANCOCK MD  21750,P04323,09/16/2005,05/31/2024,
REFUA PHARMACY AND MEDICAL SUPPLY INC,6404 REISTERSTOWN RD,,BALTMORE MD  21215,P05671,03/29/2012,05/31/2024,
Rehya Health Specifics Inc.,405 FREDERICK ROAD,Suite 1,Catonsville MD  21228,P08007,02/12/2019,05/31/2024,
REMEDI SENIORCARE,9006 YELLOW BRICK ROAD,SUITE F,BALTIMORE MD  21237,PW0228,11/08/2002,05/31/2024,
"RescueMeds, LLC",1994 Moreland Parkway,Suite 3B,Annapolis MD  21401,P08491,09/15/2021,05/31/2024,
RIDGELY PHARMACY LLC,7 WEST BELLE STREET,,RIDGELY MD  21660,P04033,04/30/2004,05/31/2024,
RightCare Pharmacy,5438 York Road,Suite 102,Baltimore MD  21212,P08437,05/06/2021,05/31/2024,
Rishik LLC dba Johnson Family Pharmacy,119 W Belair Avenue,,Aberdeen MD  21001,P08433,04/28/2021,05/31/2024,
