,Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,Unnamed: 7,lat,long,accuracy,lng
531,GRMC Inc,251 N FOURTH ST,,OAKLAND MD  21550,P08612,06/30/2022,05/31/2024,,39.41324,,1,-79.400814
532,GWYNN OAK PHARMACY,4909 LIBERTY HEIGHTS AVENUE,,Gwynn Oak MD  21207,P07413,10/20/2016,05/31/2024,,39.33227,,1,-76.699535
533,HABNAEL INC dba Greektown Pharmacy & Mini Mart,4501 Eastern Ave,1st Floor,Baltimore MD  21224,P08306,08/19/2020,05/31/2024,,39.286789,,1,-76.557909
534,HANA PHARMACY,3301 NORTH RIDGE RD,,Ellicott City MD  21043,P06909,07/10/2015,05/31/2024,,39.280827,,1,-76.816482
535,HANOVER PARK PHARMACY,7229 HANOVER PKWY,SUITE A,GREENBELT MD  20770,P05669,04/03/2012,05/31/2024,,38.98887,,1,-76.876619
536,HANSON PHARMACY,2110 CRAIN HIGHWAY,,Waldorf MD  20601,P05807,11/08/2012,05/31/2024,,38.653412,,1,-76.879017
537,HARFORD MEMORIAL HOSPITAL,501 S UNION AVENUE,,HARVE DE GRACE MD  21078,P01832,06/24/1994,05/31/2024,,39.542973,,1,-76.090882
538,HARFORD PHARMACY INC,1510 CONOWINGO ROAD,SUITE A,BEL AIR MD  21014,P00314,03/05/2001,05/31/2024,,39.567442,,1,-76.35459
539,HARRIS  TEETER  PHARMACY  #  408,14702  BALTIMORE  AVE,,Laurel MD  20707,P06576,10/08/2014,05/31/2024,,39.093122,,1,-76.858816
540,HARRIS  TEETER #392,3779  BOSTON  STREET,,Baltimore MD  21224,P06399,05/28/2014,05/31/2024,,39.27706,,1,-76.562318
541,Harris Teeter Pharmacy # 270,10125 Ward Road,,Dunkirk MD  20754,P07892,07/17/2018,05/31/2024,,38.717558,,1,-76.658461
542,Harris Teeter Pharmacy # 487,44900 St. Andrews Church Road,,California MD  20619,P07673,12/12/2017,05/31/2024,,38.302303,,1,-76.523494
543,HARRIS TEETER PHARMACY #322,8620 GUILFORD ROAD,,Columbia MD  21046,P06373,05/28/2014,05/31/2024,,39.169975,,1,-76.864545
544,HARRIS TEETER PHARMACY #323,8184 WESTSIDE DRIVE,,Fulton MD  20759,P06374,05/28/2014,05/31/2024,,39.149628,,1,-76.911296
545,HARRIS TEETER PHARMACY #324,15501 ANNAPOLIS ROAD,Ste 400,Bowie MD  20715,P07218,09/08/2016,05/31/2024,,38.978062,,1,-76.733602
546,HARRIS TEETER PHARMACY #325,14101 DARNESTOWN ROAD,,Germantown MD  20874,P06376,05/28/2014,05/31/2024,,39.104174,,1,-77.291732
547,HARRIS TEETER PHARMACY #328,11845 OLD GEORGETOWN ROAD,,North Bethesda MD  20852,P06375,05/28/2014,05/31/2024,,39.049651,,1,-77.109204
548,Harris Teeter Pharmacy #364,143 Ritchie Highway N,,Severna Park MD  21146,P07507,04/19/2017,05/31/2024,,39.101462,,1,-76.565182
549,HARRIS TEETER PHARMACY #373,12525 PARK POTOMAC AVENUE,,Potomac MD  20854,P06380,05/28/2014,05/31/2024,,39.061453,,1,-77.157117
550,HARRIS TEETER PHARMACY #376,1801 WHETSTONE WAY,,Baltimore MD  21230,P06379,05/28/2014,05/31/2024,,39.269676,,0.8,-76.599444
551,Harris Teeter Pharmacy #380,28528 Marlboro Ave,,Easton MD  21601,P07179,05/24/2016,05/31/2024,,38.781799,,0.9,-76.083738
552,HARRIS TEETER PHARMACY #382,11075 RESORT ROAD,,Ellicott City MD  21042,P06381,05/28/2014,05/31/2024,,39.297914,,1,-76.896953
553,HARRIS TEETER PHARMACY #384,323 COPLEY PLACE,,Gaithersburg MD  20878,P06382,05/28/2014,05/31/2024,,39.114985,,1,-77.207547
554,HARRIS TEETER PHARMACY #403,18169 TOWNCENTER DRIVE,,Olney MD  20832,P06377,05/28/2014,05/31/2024,,39.150364,,0.5,-77.077651
555,Harris Teeter Pharmacy #404,4805 Battery Lane,,Bethesda MD  20814,P07197,07/07/2016,05/31/2024,,38.992891,,1,-77.0969
556,HARRIS TEETER PHARMACY #409,22700 SWEET SHRUB DRIVE,,Clarksburg MD  20871,P06378,05/28/2014,05/31/2024,,39.230149,,1,-77.250851
557,HARRISON HEALTHCARE INC,2328 NORTH CHARLES ST,,BALTIMORE MD  21218,PW0268,12/22/2005,05/31/2024,,39.316122,,1,-76.617124
558,Harvard Discount Pharmacy,10 Warren Road,Suite 110,Cockeysville MD  21030,P04554,03/29/2007,05/31/2024,,39.475126,,1,-76.639978
559,Healing Touch Pharmacy LLC dba Healing Touch Pharmacy #01,5210 INDIAN HEAD H'WAY,UNIT 1RR,Oxon Hill MD  20745,P06826,03/31/2015,05/31/2024,,38.818105,,1,-76.99879
560,HEALTH CENTER PHARMACY,CAMPUS DRIVE,BLDG 140,COLLEGE PARK MD  20742,P00845,04/20/1984,05/31/2024,,38.985284,,0.99,-76.95362
561,HealthFirst LLC dba HealthFirst Pharmacy,186 Eastern Blvd N,,Hagerstown MD  21740,P08400,02/22/2021,05/31/2024,,39.636994,,1,-77.696054
562,HEALTHGATES PHARMACY & MEDICAL SUPPLY,9 S. HIGHLAND  AVE,,Baltimore MD  21224,P06109,10/22/2013,05/31/2024,,39.29245,,1,-76.569261
563,Heart to Hand Pharmacy,9701 Apollo Drive,,Upper Marlboro MD  20774,P07141,07/28/2016,05/31/2018,,38.904482,,1,-76.838466
564,Heartland Pharmacy of Maryland LLC dba Heartland Pharmacy of MD,9070 Junction Drive,,Annapolis Junction MD  20701,PW0532,10/09/2020,05/31/2024,,39.123468,,1,-76.805104
565,Hebron Pharmacy,100 S Main Street,,Hebron MD  21830,P08611,06/29/2022,05/31/2024,,38.418924,,1,-75.688778
566,HEREFORD PHARMACY INC,216 MT CARMEL RD,,PARKTON MD  21120,P08242,04/07/2020,05/31/2024,,39.591945,,1,-76.669875
567,HIGH ST DISCOUNT PHARMACY,30 HIGH ST,,Waldorf MD  20602,P06652,11/25/2014,05/31/2024,,38.602007,,1,-76.904044
568,HIGHLANDTOWN  PHARMACY  INC,3911  EASTERN  AVE,,Baltimore MD  21224,P06471,09/25/2014,05/31/2024,,39.286587,,1,-76.564458
569,Hill Top Pharmacy LLC,6188 Oxon Hill Road,,Oxon Hill MD  20745,P08600,06/17/2022,05/31/2024,,38.803554,,1,-76.981377
570,Hillcrest Pharmacy & Compounding of Elkton,120 E. Pulaski Highway,Suite 120,Elkton MD  21921,P07568,06/07/2017,05/31/2024,,39.598958,,1,-75.82631
571,Hillcrest Pharmacy & Compounding.,1080 W Patrick Street,Unit 10,Frederick MD  21703,P07478,04/26/2017,05/31/2024,,39.414888,,1,-77.444372
572,HILLS DRUG STORE INC,503 CYNWOOD DRIVE,,EASTON MD  21601,P01379,03/21/2003,05/31/2024,,38.763631,,1,-76.063579
573,"HMRX, LLC DBA CHARLOTTE HALL PHARMACY",29449 CHARLOTTE HALL ROAD,,Charlotte Hall MD  20622,PW0474,12/16/2014,05/31/2024,,38.477795,,1,-76.780064
574,Holy Cross Germantown Hospital,19801 Observation Drive,,Germantown MD  20876,PW0465,07/23/2014,05/31/2024,,39.181873,,1,-77.242401
575,HOLY CROSS HOSPITAL PHARMACY,1500 FOREST GLEN RD,,Silver Spring MD  20910,P00332,06/24/1959,05/31/2024,,39.014841,,1,-77.035093
576,"Hope -Well Pharmacy Williamsport,LLC; Express Pharmacy",307 E. POTOMAC ST,,Williamsport MD  21795,P06968,11/04/2015,05/31/2024,,39.604296,,1,-77.808686
577,HOPE FOR ALL PHARMACY & STORES,6901 Security Blvd,,Windsor Mill MD  21244,P07541,05/16/2017,05/31/2024,,39.312477,,1,-76.750532
578,HOWARD COUNTY GEN,5755 CEDAR LANE,PHARMACY DEPARTMENT,COLUMBIA MD  21044,P00335,06/24/1998,05/31/2024,,39.214294,,1,-76.885865
579,IgG of America L.L.C. dba CVS/Specialty,514 Progress Drive,Suite X-Z,Linthicum Heights MD  21090,PW0285,11/29/2006,05/31/2024,,39.218131,,1,-76.671568
580,INDIAN HEAD CARE PHARMACY,4115 INDIAN HEAD HWY,,INDIAN HEAD MD  20640,P05725,07/17/2012,05/31/2024,,38.599282,,1,-77.165639
581,IV SOLUTIONS,10231 OLD OCEAN CITY BLVD,suite 209,Berlin MD  21811,PW0372,12/19/2012,05/31/2024,,38.336824,,0.9,-75.208309
582,Janus Rx LLC,811 Eastern Shore Drive,,Salisbury MD  21804,P08473,07/28/2021,05/31/2024,,38.35488,,1,-75.59662
583,JARRETTSVILLE PHARMACY INC,3714 NORRISVILLE ROAD,P.O. BOX 57,JARRETTSVILLE MD  21084,P00355,05/07/1985,05/31/2024,,39.603173,,1,-76.480535
584,JNK Pharmacy,1810 Crain Highway,UNIT B,Glen Burnie MD  21061,P08313,09/02/2020,05/31/2024,,39.141036,,1,-76.632795
585,JOHN HOPKINS HOSPITAL AMBULATORY AND CARE TRANSITIONS PHARMACY DIVISION,601 N Caroline Street,Outpatient Center Room 1231,Baltimore MD  21287,P06336,05/29/2014,05/31/2024,,39.297209,,0.9,-76.597385
586,JOHN HOPKINS HOSPITAL CRITICAL CARE AND SURGERY PHARMACY DIVISION,1800  ORLEANS  ST  ZAYER  3121,,Baltimore MD  21287,P06339,05/29/2014,05/31/2024,,39.295435,,1,-76.591726
587,JOHN HOPKINS HOSPITAL PEDIATRIC PHARMACY DIVISION,1800  ORLEANS  ST  BLOOMBERG,,Baltimore MD  21287,P06338,05/29/2014,05/31/2024,,39.295435,,1,-76.591726
588,JOHN HOPKINS INVESTIGATIONAL DRUG SERVICES,600 N. WOLFE  ST    OSLER  100,,Baltimore MD  21287,PW0453,05/29/2014,05/31/2024,,39.296883,,0.9,-76.592417
589,JOHN MARSH ONCOLOGY PHARMACY,11110 MEDICAL CAMPUS RD,SUITE 129,HAGERSTOWN MD  21742,PW0250,04/21/2004,05/31/2024,,39.621012,,1,-77.683069
590,JOHNS  HOPKINS HOSPITAL  WEINBERG PHARMACY DIVISIONS,1800 Orleans St,Carnegie 180,Baltimore MD  21287,P06335,05/29/2014,05/31/2024,,39.295435,,1,-76.591726
591,JOHNS HOPKINS BAYVIEW MED CENTER,4940 EASTERN AVE,,BALTIMORE MD  21224,P01092,07/03/1984,05/31/2024,,39.287271,,1,-76.554702
592,Johns Hopkins Bayview Medical Center,4940 Eastern Avenue,"BMO Bldg, Rm 01-0154",Baltimore MD  21224,P02057,10/22/2002,05/31/2024,,39.287271,,1,-76.554702
593,JOHNS HOPKINS CENTRAL PHARMACY DIVISION,600 N WOLFE ST,CARNEIGIE 180,BALTIMORE MD  21287,P00352,08/24/1967,05/31/2024,,39.296883,,0.9,-76.592417
594,JOHNS HOPKINS HOSPITAL ADULT INPATIENT PHARMACY DIVISION,1800  ORLEANS ST  ZAYED  7000,,Baltimore MD  21287,P06337,05/29/2014,05/31/2024,,39.295435,,1,-76.591726
595,Johns Hopkins Hospital Discharge Pharmacy,600 N. Wolfe Street,"Carnegie Bldg, 2nd Floor",Baltimore MD  21287,P07682,12/20/2017,05/31/2024,,39.296883,,0.9,-76.592417
596,JOHNS HOPKINS HOSPITAL VIRAGH PHARMACY,201 NORTH BROADWAY,SUITE 6009,Baltimore MD  21287,P07859,05/02/2018,05/31/2024,,39.294619,,0.9,-76.592291
597,JOHNS HOPKINS ONCOLOGY CENTER,10803 Falls Road,Pavilion III,LUTHERVILLE MD  21093,PW0222,03/07/2002,05/31/2024,,39.422419,,1,-76.668926
598,JOHNS HOPKINS OUTPATIENT PHARM AT JHOC,601 N. Caroline Street,Suite 1006,Baltimore MD  21287,P01688,10/23/2002,05/31/2024,,39.297209,,0.9,-76.597385
599,JOHNS HOPKINS OUTPATIENT PHARMACY AT BARTLETT PRACTICE,1717 E. Monument Street,"Park Building, Room G-105",BALTIMORE MD  21287,P03167,10/03/2003,05/31/2024,,39.298228,,1,-76.59428
600,Johns Hopkins Outpatient Pharmacy at Bayview Annex,4940 Eastern Ave,,Baltimore MD  21224,P07381,10/12/2016,05/31/2024,,39.287271,,1,-76.554702
601,JOHNS HOPKINS OUTPATIENT PHARMACY at WEINBERG,401 N. Broadway,Suite 1001,Baltimore MD  21287,P02433,10/22/2002,05/31/2024,,39.29504,,0.9,-76.594209
602,JOHNS HOPKINS PHARMAQUIP INC,5901 HOLABIRD AVENUE,SUITE A,BALTIMORE MD  21224,PW0013,12/02/1992,05/31/2024,,39.271931,,1,-76.544713
603,JOPPA ROAD PHARMACY LLC,1907A EAST JOPPA ROAD,,BALTIMORE MD  21234,P05506,05/18/2011,05/31/2024,,39.400044,,1,-76.550046
604,JP Pharmacy LLC,515 Fairmount Ave,SUITE  130,Towson MD  21286,P07940,09/19/2018,05/31/2024,,39.40121,,1,-76.59679
605,Jubilant DraxImage Inc dba Jubilant RadioPhama,11650 Crossroad Circle,Suite J,Baltimore MD  21220,PW0535,05/27/2021,05/31/2024,,39.354659,,1,-76.404133
606,Jubilant DraxImage Inc dba Jubilant RadioPhama,12300 KILN COURT,SUITE D,BELTSVILLE MD  20705,PW0534,05/27/2021,05/31/2024,,39.060126,,1,-76.891451
607,KabaFusion MD LLC,8989 Herrmann Drive,Suite 140,Columbia MD  21045,P08688,12/20/2022,05/31/2024,,39.184303,,1,-76.825515
608,KAISER PERMANENTE ABINGDON PHARMACY,3400 BOX HILL CORPORATE CENTER DRIVE,SUITE 100,Abingdon MD  21009,P07474,02/22/2017,05/31/2024,,39.469782,,1,-76.306142
609,KAISER PERMANENTE ANNAPOLIS PHARMACY,888 BESTGATE RD,,ANNAPOLIS MD  21401,P05130,12/29/2009,05/31/2024,,38.994239,,1,-76.543615
610,KAISER PERMANENTE BALTIMORE HARBOR PHARMACY,815 EAST PRATT STREET,,Baltimore MD  21202,P05128,12/29/2009,05/31/2024,,39.286911,,1,-76.603383
611,KAISER PERMANENTE Bowie Fairwood Medical Center Pharmacy,5400 Hillmeade Road,,Bowie MD  20720,P08458,06/14/2021,05/31/2024,,38.965339,,1,-76.787764
612,KAISER PERMANENTE CAMP SPRINGS PHARMACY,6104 OLD BRANCH AVE,,TEMPLE HILLS MD  20748,P05129,12/29/2009,05/31/2024,,38.806745,,1,-76.908442
613,KAISER PERMANENTE COLUMBIA GATEWAY,7070 SAMUEL MORSE DR,,Columbia MD  21046,P05127,12/29/2009,05/31/2024,,39.170345,,1,-76.810719
614,KAISER PERMANENTE FREDERICK PHARMACY,7190 CRESTWOOD BLVD,,FREDERICK MD  21703,P05143,12/28/2009,05/31/2024,,39.387084,,1,-77.415454
615,KAISER PERMANENTE GAITHERSBURG INFUS RX,655 WATKINS MILL ROAD,,GAITHERSBURG MD  20879,PW0356,01/20/2012,05/31/2024,,39.15561,,1,-77.222204
616,KAISER PERMANENTE GAITHERSBURG PHARMACY,655 WATKINS MILL ROAD,,GAITHERSBURG MD  20879,P05131,12/29/2009,05/31/2024,,39.15561,,1,-77.222204
617,KAISER PERMANENTE KENSINGTON PHARMACY,10810 CONNECTICUT AVE,,KENSINGTON MD  20895,P05141,12/28/2009,05/31/2024,,39.032831,,1,-77.076142
618,KAISER PERMANENTE LARGO INFUSION RX,1221 MERCANTILE LN,,LARGO MD  20774,PW0335,02/24/2010,05/31/2024,,38.90698,,1,-76.835599
619,KAISER PERMANENTE LARGO PHARMACY,1221 MERCANTILE LN,,LARGO MD  20774,P05140,12/28/2009,05/31/2024,,38.90698,,1,-76.835599
620,Kaiser Permanente Lutherville- Timonium Pharmacy,2391 Greensprings Drive,3rd Floor,Lutherville Timonium MD  21093,P08515,11/09/2021,05/31/2024,,39.448497,,0.89,-76.63497
621,Kaiser Permanente Lutherville-Timonium Infusion Pharmacy,2391 Greensprings Drive,3rd Floor,Lutherville Timonium MD  21093,P08528,01/26/2022,05/31/2024,,39.448497,,0.89,-76.63497
622,KAISER PERMANENTE MARLOW HGHTS PHARMACY,5100 AUTH WAY,,SUITLAND MD  20746,P05139,12/28/2009,05/31/2024,,38.827583,,1,-76.919274
623,Kaiser Permanente North Arundel Pharmacy,7670 Quarterfield Road,,Glen Burnie MD  21061,P07497,04/07/2017,05/31/2024,,39.151263,,1,-76.637014
624,KAISER PERMANENTE SHADY GROVE PHARMACY,1396 PICCARD DR,,ROCKVILLE MD  20850,P05137,12/29/2009,05/31/2024,,39.107814,,1,-77.182735
625,KAISER PERMANENTE SILVER SPRING PHARMACY,12201 PLUM ORCHARD DR,,COLESVILLE MD  20910,P05136,12/29/2009,05/31/2024,,39.056246,,0.99,-76.955739
626,KAISER PERMANENTE SOUTH BALTIMORE COUNTY PHARMACY,1701 TWIN SPRINGS ROAD,,Halethorpe MD  21227,P05937,02/22/2013,05/31/2024,,39.257849,,1,-76.673733
627,Kaiser Permanente West Hyattsville Pharmacy,5620 Ager Road,,Hyattsville MD  20782,P08605,06/23/2022,05/31/2024,,38.957798,,1,-76.967851
628,KAISER PERMANENTE WHITE MARSH PHARMACY,4920 CAMPBELL BLVD,,White Marsh MD  21236,P05133,12/29/2009,05/31/2024,,39.373851,,1,-76.46086
629,KAISER PERMANENTE WOODLAWN INFUSION,7141 SECURITY BLVD,,BALTIMORE MD  21244,PW0333,03/01/2010,05/31/2024,,39.31186,,1,-76.757844
630,KAISER PERMANENTE WOODLAWN PHARMACY,7141 SECURITY BLVD,,BALTIMORE MD  21244,P05134,12/29/2009,05/31/2024,,39.31186,,1,-76.757844
631,KAREMORE PHARMACY,12085 NORTH SOMERSET AV,UNIT 5,PRINCESS ANNE MD  21853,P02584,03/29/2001,05/31/2024,,38.213299,,0.8,-75.69497
632,KAREMORE PHARMACY 002,817 SNOW HILL ROAD,SUITE 2,SALISBURY MD  21804,P04749,05/05/2008,05/31/2024,,38.350898,,1,-75.583695
633,Kay Cee LTC Pharmacy,4611 Assembly Drive,SUITE H,Lanham MD  20706,PW0327,04/29/2009,05/31/2024,,38.953303,,1,-76.83061
634,Kennie's Pharmacy,11 Grand Drive,,Taneytown MD  21787,P05541,06/29/2011,05/31/2024,,39.648785,,1,-77.160123
635,KENSINGTON PHARMACY,3737 W UNIV BLVD,,KENSINGTON MD  20895,P04371,12/02/2005,05/31/2024,,39.019437,,0.7,-77.074729
636,Keyona LLC dba Empire Towers Pharmacy,7310 Ritchie Highway,Suite 110,Glen Burnie MD  21061,P07851,05/02/2018,05/31/2024,,39.171416,,1,-76.620672
637,KEYSTONE PHARMACY,1358 W  NORTH AVE,,BALTIMORE MD  21217,P08543,02/11/2022,05/31/2024,,39.310846,,1,-76.639791
638,KINGS PHARMACY INC,7627 WOODBINE RD,PO BOX 256,WOODBINE MD  21797,P04737,03/21/2008,05/31/2024,,39.364829,,1,-77.058281
639,KLEINS SHOPRITE PHARMACY #545,2101 ROCK SPRING ROAD,,FOREST HILL MD  21050,P00889,04/15/1981,05/31/2024,,39.574848,,1,-76.385224
640,KLEINS SHOPRITE PHARMACY #547,223 NORTH MAIN STREET,,BELAIR MD  21014,P01415,05/02/1989,05/31/2024,,39.53947,,1,-76.353344
641,KLEINS SHOPRITE PHARMACY #548,949 BEARDS HILL RD,,ABERDEEN MD  21001,P01248,02/24/1986,05/31/2024,,39.523897,,1,-76.184017
642,KLEINS SHOPRITE PHARMACY #549,5 BEL AIR S  PKWY,SUITE 301,Bel Air MD  21015,P01541,01/12/1990,05/31/2024,,39.66139,,0.7,-78.748661
643,KLEINS SHOPRITE PHARMACY #551,1321 RIVERSIDE PARKWAY,,BELCAMP MD  21017,P01719,09/29/1992,05/31/2024,,39.479823,,1,-76.2476
644,KLEINS SHOPRITE PHARMACY #555,1606 DOOLEY ROAD,,CARDIFF MD  21160,P04010,12/31/2003,05/31/2024,,39.720405,,1,-76.342624
645,KLEINS SHOPRITE PHARMACY #563,14330 JARRETTSVILLE PK,,PHOENIX MD  21131,P04081,07/27/2004,05/31/2024,,39.520172,,1,-76.560228
646,KNOWLES APOTHOCARY,10400 CONNECTICUT AVE,#100,KENSINGTON MD  20895,P04386,01/18/2006,05/31/2024,,39.026965,,1,-77.077223
647,Koulward Health LLC dba Population Health Pharmacy,9 Aberdeen Shopping Plaza,,Aberdeen MD  21001,P08028,03/05/2019,05/31/2024,,39.50485,,1,-76.157673
648,Langley Park Pharmacy and Medical Supplies,8004 New Hampshire Avenue,,Hyattsville MD  20783,P07987,12/12/2018,05/31/2024,,38.99125,,1,-76.988123
649,LAPLATA   PHARMACY,6501  CRAIN  HWY,,La Plata MD  20646,P06473,09/26/2014,05/31/2024,,38.533803,,1,-76.983693
650,LAUREL MAIN STREET PHARMACY,667  MAIN STREET,,Laurel MD  20707,P05892,03/01/2013,05/31/2024,,39.108492,,1,-76.853173
651,LAUREL PHARMACY,7350 VAN DUSEN ROAD,SUITE 120A,LAUREL MD  20707,P04144,02/15/2005,05/31/2024,,39.088056,,1,-76.880611
652,LAVALE PHARMACY INC,1221 C NATIONAL HWY,,Cumberland MD  21502,P01287,12/18/1996,05/31/2024,,39.669818,,1,-78.791943
653,LAWSONS PHARMACY,3415 HAMILTON ST,,HYATTSVILLE MD  20782,P08645,08/30/2022,05/31/2024,,38.95501,,1,-76.961226
654,Laxmi Durga Rx LLC dba Edmondson Pharmacy,4506 Edmondson Avenue,,Baltimore MD  21229,P05814,10/18/2012,05/31/2024,,39.293674,,1,-76.691662
655,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL INPATIENT PHARMACY,2434 WEST BELVEDERE AVE,,Baltimore MD  21215,PW0471,02/04/2015,05/31/2024,,39.354539,,1,-76.665423
656,Lex Pharmacy,36 S Solomon Island Road,,Prince Frederick MD  20678,P08382,01/12/2021,05/31/2024,,38.536565,,0.89,-76.586507
657,LIBERTY PHARMACY LLC,108 N. EUTAW STREET,SUITE 108,Baltimore MD  21201,P07520,04/06/2017,05/31/2024,,39.290725,,1,-76.621288
658,LIFE CARE PHARMACY LLC,5429  REISTERSTOWN RD,SUITE B,Baltimore MD  21215,P06878,06/02/2015,05/31/2024,,39.346982,,1,-76.688932
659,Lifebridge Pharmacy at Northwest,5401 Old Court Road,,Randallstown MD  21133,P05509,04/14/2011,05/31/2024,,39.358723,,1,-76.781615
660,LifeBridge Pharmacy at Sinai,2401 BELVEDERE AVE,,BALTIMORE MD  21215,P05585,10/07/2011,05/31/2024,,39.352624,,0.9,-76.661965
661,Lifeline Baltimore Pharmacy,6821 Reisterstown Road,Suite 207,Baltimore MD  21215,P07438,11/28/2016,05/31/2024,,39.359828,,1,-76.707344
662,Lifeline Specialty Pharmacy,3233 CORPORATE COURT,,Ellicott City MD  21043,PW0513,11/02/2017,05/31/2024,,39.282201,,1,-76.862661
663,Lifeway Pharmacy LLC,700A Merrit Blvd,Suite 1A,Dundalk MD  21222,P07159,05/11/2016,05/31/2024,,39.28806,,1,-76.506168
664,LITTLE  ACORN  PHARMACY,11161  NEW HAMPSHIRE  AVE,SUITE 110,Silver Spring MD  20904,P06806,04/29/2015,05/31/2024,,39.039346,,1,-76.98935
665,Lockwood Pharmacy,10801 Lockwood Drive,Suite 190,Silver Spring MD  20901,P07891,11/28/2018,05/31/2024,,39.032885,,1,-77.002466
666,Lower Shore Pharmacy,505 E. Main Street,,Salisbury MD  21804,P07526,04/11/2017,05/31/2024,,38.365916,,1,-75.592634
667,"Lumicera Health Services, LLC",704 Quince Orchard Rd.,Suite 150,Gaithersburg MD  20878,P08387,01/27/2021,05/31/2024,,39.137045,,1,-77.22394
668,Luminis Behavioral Health Campus Pharmacy,2620 Riva Road,,Annapolis MD  21401,P08213,05/27/2020,05/31/2024,,38.977987,,1,-76.558111
669,Lusby Pharmacy,11870 HG Trueman Road,,Lusby MD  20657,P08070,04/17/2019,05/31/2024,,38.371085,,1,-76.442863
670,"LUTHERVILLE HEMATOLOGY & ONCOLOGY SERVICES, LLC",1734 YORK ROAD,,Lutherville MD  21093,PW0503,02/15/2017,05/31/2024,,39.428555,,1,-76.621883
671,LYKOS PHARMACY INC,2101 YORK RD,,TIMONIUM MD  21093,P00402,01/01/1960,05/31/2024,,39.441129,,1,-76.626097
672,MANCHESTER PHARMACY INC,3321 NORTH MAIN STREET,PO BOX 886,MANCHESTER MD  21102,P04029,03/24/2004,05/31/2024,,39.665155,,0.8,-76.886751
673,MARION PHARMACY INC,26427 BURTON AVE,,CRISFIELD MD  21817,P00411,11/28/1972,05/31/2024,,37.99421,,1,-75.839897
674,Martin's Pharmacy #6425,24 RISING SUN TOWNE CTR,,RISING SUN MD  21911,P02411,10/20/1999,05/31/2024,,39.696844,,0.9,-76.057582
675,Martins Food Market Pharmacy #6003,739 PARK STREET,,CUMBERLAND MD  21501,P02373,07/06/1999,05/31/2024,,39.646076,,1,-78.758277
676,Martins Pharmacy #6104,1729 DUAL HIGHWAY,,HAGERSTOWN MD  21740,P01869,02/03/1995,05/31/2024,,39.615489,,1,-77.69199
677,Martins Pharmacy #6275,1650 C WESEL BLVD,,HAGERSTOWN MD  21740,P04169,04/27/2005,05/31/2024,,39.632426,,1,-77.763993
678,Martins Pharmacy #6297,12101 WINCHESTER RD SW,,Lavale MD  21502,P02327,06/15/1999,05/31/2024,,39.632343,,0.95,-78.840163
679,Martins Pharmacy #6307,1320 LONDONTOWN BLVD,,ELDERSBURG MD  21784,P04460,07/28/2006,05/31/2024,,39.411156,,1,-76.948806
680,Martins Pharmacy #6444,18726 N POINTE DRIVE,,HAGERSTOWN MD  21742,P01508,11/14/2002,05/31/2024,,39.684578,,1,-77.719135
681,Maryland CVS Pharmacy LLC,60 SHINING WILLOW WAY,,La Plata MD  20646,P07037,12/17/2015,05/31/2024,,38.540869,,1,-76.9824
682,Maryland CVS Pharmacy LLC,11160 VEIRS MILL RD,,Silver Spring MD  20902,P07043,12/17/2015,05/31/2024,,39.036869,,1,-77.054843
683,Maryland CVS Pharmacy LLC #16393,4600 MITCHELLVILLE RD,,Bowie MD  20716,P07024,12/18/2015,05/31/2024,,38.952665,,1,-76.723082
684,Maryland CVS Pharmacy LLC #17378,28539 MARLBORO AVE,,Easton MD  21601,P07035,12/23/2015,05/31/2024,,38.78181,,1,-76.086468
685,Maryland CVS Pharmacy LLC dba CVS Pharmacy #16395,10500  CAMPUS WAY S,,Upper Marlboro MD  20774,P07059,12/18/2015,05/31/2024,,38.896122,,1,-76.826815
686,Maryland CVS Pharmacy LLC DBA CVS Pharmacy #16396,3343 CORRIDOR MARKETPLACE,,Laurel MD  20724,P07023,12/18/2015,05/31/2024,,39.09673,,1,-76.810136
687,Maryland CVS Pharmacy LLC dba CVS Pharmacy #16397,3300 WESTERN PKWY,,Waldorf MD  20603,P07022,01/07/2016,05/31/2024,,38.621045,,1,-76.922865
688,Maryland CVS Pharmacy LLC dba CVS Pharmacy #16427,4390 Montgomery Road,,Ellicott City MD  21043,P07028,12/22/2015,05/31/2024,,39.24996,,1,-76.817279
689,Maryland CVS Pharmacy LLC dba CVS Pharmacy #16428,1025 MIDDLETON RD,,Aberdeen MD  21001,P07021,12/21/2015,05/31/2024,,39.52085,,1,-76.178988
690,Maryland CVS Pharmacy LLC dba CVS Pharmacy #16991,403 Constant Friendship Blvd,,Abingdon MD  21009,P07046,12/21/2015,05/31/2024,,39.45983,,1,-76.316591
691,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17010,3500 East West  Hwy.,Suite 1200,Hyattsville MD  20782,P07047,01/05/2016,05/31/2024,,38.96858,,1,-76.957431
692,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17017,3101 Donnell  Dr.,,District Heights MD  20747,P07049,12/23/2015,05/31/2024,,38.848567,,1,-76.886492
693,Maryland CVS Pharmacy LLC dba CVS Pharmacy #17055,6717 Ritchie Hwy,,Glen Burnie MD  21061,P07048,12/18/2015,05/31/2024,,39.190255,,1,-76.609882
